Title,Url,Page,Location on page,Side,Drawing Inscription,Drawing Date,Support Material,Drawing Medium and Style,Set of Drawings,Drawing Source,Title of depicted object,Current Location,GeolocCurrentLocation,Current inventory no.,Source object material,Source object type,Date,Discovery date,Archeological Findspot,geolocFindspot,Provenance,Collector,Iconography,Tracing Source,Online Collection Record,Bibliographic References:,Notes,Updated date
Wall painting - Landscape with small buildings,http://digitalmontagny.inha.fr/en/record/montagny30r01,Folio 30 Recto,"Leaf 30r, top of the page",Vertical,a Naples,,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,,,,,,,,2015-07-30T14:51:00Z
Wall painting - Leda and the Swan,http://digitalmontagny.inha.fr/en/record/montagny54r01,Folio 54 Recto,"Leaf 54r, top of the page",Vertical,"Peinture Antique trouvée à herculanum, elle est à présent à Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Leda and the swan,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 27695 (gabinetto segreto),fresco,mural painting (visual works),,,"Italy, Herculaneum",,Portici museum,,Leda and the Swan,,,"De Caro, 2000",,2015-05-16T15:49:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 42,,
Wall painting - Leopard fighting with a snake,http://digitalmontagny.inha.fr/en/record/montagny24r04,Folio 24 Recto,"Leaf 24r, center of the page","Horizontal, turn book clockwise","Peinture Antique trouvée à Pompeïa, fond clair, , l'animal couleur terre de sienne Brulée, le Serpent, vert et rouge dans de certaines parties. la plinte, rouge. [ink] Dés.né au musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Leopard and snake,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",Inv. 8795,fresco,mural painting (visual works),,"June 22, 1755","Italy, Pompei, praedia of Julia Felix, Regio II, 4","40.7461572, 14.4989344",Portici museum,,"Fighting, Leopard, Snake",,,"Bragantini et al., 2009",,2015-05-16T16:24:00Z
Wall painting - Maenad,http://digitalmontagny.inha.fr/en/record/montagny25r01,Folio 25 Recto,"Leaf 25r, top of the page","Horizontal, turn book clockwise","Peinture antique trouvée , à Pompeïa fond noir draperie , jaune clair, [ink] Du Musée de Portici",,Blue paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,"Bacchant, Vine",,,,,2015-05-14T18:49:00Z
Wall painting - Maenad,http://digitalmontagny.inha.fr/en/record/montagny51r02,Folio 51 Recto,"Leaf 51r, top of the page, right",Vertical,"Peinture Antique, fond rouge, mêlé de laque, draperie verte, clair, x ce qui est marqué, d'une croix est, de la couleur, jaune clair, [ink] musée de, Portici",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,"Bacchant, Drum, Thyrsus, Vine",,,,,2015-05-14T18:58:00Z
Wall painting - Maenad,http://digitalmontagny.inha.fr/en/record/montagny83r03,Folio 83 Recto,"Leaf 83r, bottom of the page","Horizontal, turn book clockwise","Peinture Antique, [ink] Musée de, Portici, [pencil] fond noir draperie, verte clair, la dépuille jaune, ainsi que le tambour, de basque",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Maenad,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",9152,fresco,mural painting (visual works),1st c. A.D.,"February 12, 1746","Italy, Herculaneum",,Portici museum,,"Bacchant, Drum, Thyrsus",,,"Helbig, 1868",,2015-05-16T16:11:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 483,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"V, pl. 42",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 134, 8",,
Wall painting - Maenad (9183),http://digitalmontagny.inha.fr/en/record/montagny85r01,Folio 85 Recto,"Leaf 85r, top of the page",Vertical,"Peinture Antique, trouvée à Pompeïa, fond noir 1. vert clair, [ink] Du Musée de Portici",,Blue paper,"Pencil, line drawing",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9183,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,"Bacchant, Thyrsus",,,"Bragantini et al., 2009",,2015-05-16T16:03:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 99,,
Wall painting - Maenad with a tray,http://digitalmontagny.inha.fr/en/record/montagny25r03,Folio 25 Recto,"Leaf 25r, bottom of the page","Horizontal, turn book clockwise","draperie verte , clair , fond Blanc, [ink] Peinture Antique , du Musée de Portici",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Engraving,,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9323,fresco,mural painting (visual works),,,,,,,"Bacchant, Tray",,,"Mattusch, 2013",,2015-05-16T16:12:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 166, fig. 5",,
Wall painting - Marsyas and Olympus,http://digitalmontagny.inha.fr/en/record/montagny75r03,Folio 75 Recto,"Leaf 75r, bottom of the page","Horizontal, turn book clockwise","Peinture Antique, trouvée à Pompeia, 1 Brûlé du, Soleil, 2 couleur, fine, fond vert, [ink] Musée de Portici, [black ink, partly on the page] Marsia che insegna a sonar la Tibia al, giovanetto Olimpo",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",9141,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,"Aulos, Marsyas, Olympus, Vine",,,"Helbig, 1868",,2015-05-16T16:23:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 228,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Millin, 1811",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pl. 19 n° 77,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, pl. 19",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 31, 5",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMC, 1981",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Olympos, n. 16",,
Wall painting - Mask,http://digitalmontagny.inha.fr/en/record/montagny38r02,Folio 38 Recto,"Leaf 38r, bottom of the page",Vertical,"fragments trouvés à, Pompeia, les joues jaune, brûlée du Soleil, la barbe et le , menton Blanc, et les feuilles de, vignes vertes, [ink] Des.ne au Musée, de Portici",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,Mask,,,,,2015-05-14T18:55:00Z
Wall Painting - Mask,http://digitalmontagny.inha.fr/en/record/montagny40r02b,Folio 40 Recto,"Leaf 40r, middle of the page, left","Horizontal, turn book clockwise","masque , comique pour, la muse, Thalie, il est antique",,"White paper, Transparent paper","Ink, line drawing",,Engraving,Thalia,Paris. Musée du Louvre,"48.8606111, 2.337644",P 10,fresco,mural painting (visual works),1st c. AD,1749,"Italy, Pompei, praedia of Julia Felix, Regio II, 4","40.7461572, 14.4989344","1802 : Josephine de Beauharnais, until 1825 : Chevalier Durand",,Mask,"Reale Accademia Ercolanese, 1757 - II, pl. 3",http://cartelfr.louvre.fr/cartelfr/visite?srv=car_not_frame&idNotice=24454&langue=fr,"Burlot and Roger, 2012",,2015-05-14T19:35:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 15,,
Wall painting - Minerva,http://digitalmontagny.inha.fr/en/record/montagny90r01,Folio 90 Recto,"Leaf 90r, center of the page",Vertical,[ink] M. de Napoli,,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,"Acanthus, Aegis, Gorgon, Helmet, Minerva, Shield, Spear",,,,,2015-05-14T19:04:00Z
Wall painting - Naiad on a sea-bull,http://digitalmontagny.inha.fr/en/record/montagny56r02,Folio 56 Recto,"Leaf 56r, middle of the page","Horizontal, turn book clockwise","1 vert clair, 2 d'une couleur chaude, 3 viollet clair, le fond noir, [ink] Du musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Nereid riding a sea-bull,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9900,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,"Naiad, Sea-bull",,,"Helbig, 1868",Montagny shows the whole composition whilst a big part of it is missing in the engraving published by Reinach.,2015-07-21T09:54:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1034,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, p. 18, pl. 97",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pp. 43, 6",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Zahn and Jahn, 1828",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, p. 96",,
Wall painting - Nuptial scene with musician,http://digitalmontagny.inha.fr/en/record/montagny86r01,Folio 86 Recto,"Leaf 86r, top of the page",Vertical,"Peinture Antique, fond Blanc, 1. Laque 2 vert, [ink] Du musée de Portici",,Blue paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,Lyre,,,"Reale Accademia Ercolanese, 1757",,2015-05-14T21:43:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"IV, pl. 8",,
Wall painting - Ornaments,http://digitalmontagny.inha.fr/en/record/montagny35r01,Folio 35 Recto,"Leaf 35r, top of the page",Vertical,Bordure Antique Musée de Portici,,White paper,"Pencil, line drawing",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,,,,,,2015-05-14T18:48:00Z
Wall painting - Pan fighting a goat,http://digitalmontagny.inha.fr/en/record/montagny77r01,Folio 77 Recto,"Leaf 77r, center of the page","Horizontal, turn book clockwise","[ink] Musée de, Portici, [pencil] Peinture Antique trouvée à Herculanum fond rouge, les figures Blanches et la terre verte. l'original est, de la même grandeur.",,White paper,"Pencil, chiaroscuro, Ink",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9162a (Gabinetto segreto),fresco,mural painting (visual works),,,"Italy, Herculaneum",,Portici museum,,"Fighting, Goat, Pan",,,"De Caro, 2000",,2015-08-14T18:14:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 50,,
Wall painting - Pan fighting a goat,http://digitalmontagny.inha.fr/en/record/montagny78r01,Folio 78 Recto,"Leaf 78r, top of the page","Horizontal, turn book clockwise","Peinture Antique trouvée à Herculanum, fond rouge, l'animal noir, l'homme Blanc,, et la plinte verte clair., [ink] Musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9162b (gabinetto segreto),fresco,mural painting (visual works),,,"Italy, Herculaneum",,Portici museum,,"Fighting, Goat, Pan",,,"De Caro, 2000",,2015-05-16T16:17:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 50,,
Wall painting - Pan milking a goat,http://digitalmontagny.inha.fr/en/record/montagny85r02,Folio 85 Recto,"Leaf 85r, bottom of the page",Vertical,"Peinture Antique trouvée à Pompeïa, fond laque foncé, Blanc, couronne verte, le vase de, lait un blanc, clair, [ink] musée de Portici",,Blue paper,"Pencil, line drawing",Naples drawings,Original work of art (made from),Candelabra,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9921,fresco,mural painting (visual works),30-40 CE,,"Italy, Pompei, Regio IV, ins. occ.","40.7461572, 14.4989344",Portici museum,,"Goat, Pan",,,"Donati, 1998","A Revoir DELPHINE - Part of a bigger fragment; vegetal candelabra, within in its center, a medaillon with a small scene : Pan milking a goat",2015-05-16T16:18:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 21,,
Wall painting - Panther,http://digitalmontagny.inha.fr/en/record/montagny76r01,Folio 76 Recto,"Leaf 76r, top of the page",Vertical,"Peinture Antique, fond rouge l'animal , vert avec la plinte. , [ink] Musée de Portici",,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 8779 (to be checked),fresco,mural painting (visual works),,,"Italy, Herculaneum, villa of the Papyri",,Portici museum,,"Horn, Panther",,,"Boriello, 1986",,2015-05-16T16:00:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 282,,
Wall painting - Philosopher,http://digitalmontagny.inha.fr/en/record/montagny47r02,Folio 47 Recto,"Leaf 47r, bottom of the page, left",Vertical,"[ink] Peinture Antique, du Musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Poet sitting on a rock,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9078,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,,,,"Helbig, 1868","Helbig describes boots at the poet's feet, but M.'s drawing shows him bare foot",2015-07-27T14:00:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1525b,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pl. 30, p. 185",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pp. 260, 8",,
Wall Painting - Polyphemus,http://digitalmontagny.inha.fr/en/record/montagny04r02,Folio 4 Recto,"Leaf 4r, center of page",Vertical,"Peinture antique trouvée à Herculanum, 3 Blanc, 4 Jaune, 5 viollet, 6 viollet. 7 Bleu clair; , 8 jaune. et fond verdatre 9 vert. [ink] Musée de Portici",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),Polyphemus,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 8983 (AFP MN742),fresco,mural painting (visual works),1st c. AD,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,"Lion's skin, Pedum, Polyphemus",,,"Boriello, 1986",,2015-09-12T19:22:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 166,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Bragantini et al., 2009",,
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 71,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig, 1868",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1050,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruesch, 1911",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1416,,
Wall painting - Polyphemus,http://digitalmontagny.inha.fr/en/record/montagny07r02,Folio 7 Recto,"Leaf 7r, center of the page",Vertical,"[ink] trouvé à Herculanum , [ink] Peinture antique , [ink] Musée de Portici , il ciclope Polifeme, che riceve da un , genio marino un imbasciata da Galatea, [vertical] Peinture Antique",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Polyphemus,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 8984 (AFP MN743),fresco,mural painting (visual works),1st c. AD,,"Italy, Herculaneum",,Portici museum,,"Cupid, Dolphin, Lyre, Polyphemus",,,"Boriello, 1986",,2015-09-12T19:39:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 167,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Helbig, 1868",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1048,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Museo archeologico nazionale (Napoli), 1987",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Ruesch, 1911",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 1417,,
Wall painting - Psyche,http://digitalmontagny.inha.fr/en/record/montagny46r02,Folio 46 Recto,"Leaf 46r, center of the page",Vertical,"Peinture antique le fond , rouge la tunique rouge les reste de , l'habillement vert, ainsi que les ailes, musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Psyche,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. n° 9329,fresco,mural painting (visual works),,,"Italy, Herculaneum",,Portici museum,,"Oenochoe, Psyche, Tray",,,"Museo archeologico nazionale (Napoli), 1987",,2015-07-27T14:08:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"I, n. 25",,
Wall painting - Psyche,http://digitalmontagny.inha.fr/en/record/montagny50r04,Folio 50 Recto,"Leaf 50r, bottom of the page, right",Vertical,"Peinture Antique trouvée, à herculanum fond, rouge draperie verte, la ceinture blanche, [ink] genio di musica, Du musée de , Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9327,fresco,mural painting (visual works),,,"Italy, Herculaneum",,Portici museum,,Psyche,,,,,2015-05-16T16:02:00Z
Wall painting - Sacrifice,http://digitalmontagny.inha.fr/en/record/montagny20r02,Folio 20 Recto,"Leaf 20r, center of the page",Vertical,"Blanc , marbre , vert , Blanc , rocher , Blanc, Peinture Antique , trouvée à Pompeïa, fond noir, [ink] Musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9165,fresco,mural painting (visual works),,,"Italy, Pompei, Regio VII, 6, 28, cubiculum 8","40.7461572, 14.4989344",,,"Bowl, Column, pillar, Sacrifice, Thyrsus, Vine",,,"Bragantini et al., 2009",,2015-09-12T18:51:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n° 100,,
Wall painting - Satyr,http://digitalmontagny.inha.fr/en/record/montagny41r03,Folio 41 Recto,"Leaf 41r, bottom of the page, right",Vertical,"Peinture Antique, fond viollet, foncé draperie, verte, [ink] Sileno, [ink] musée de Portici",,Transparent paper,"Ink, line drawing",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9665,fresco,mural painting (visual works),,,"Italy, Stabiae","40.7035661, 14.4991744",Portici museum,,"Faun, Thyrsus",,,"Helbig, 1868",,2015-07-27T14:42:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 415,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,dimensions given correspond to the whole mount,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"III, p. 105, pl. 20",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"pp. 121, 3",,
Wall painting - Satyr and a sleeping Maenad,http://digitalmontagny.inha.fr/en/record/montagny11r02,Folio 11 Recto,"Leaf 11r, top of the page",Vertical,[ink] du Musée de Portici,,Blue paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254","Gabinetto segreto, inv. 27691",fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,"Bacchant, Faun",,,"Cantarella et al., 2011",,2015-05-16T16:23:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 180, n. 159",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Marini, 1971",,
,,,,,,,,,,,,,,,,,,,,,,,,,,pp. 63,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,no inventory number given,,
Wall painting - Sea Horse,http://digitalmontagny.inha.fr/en/record/montagny35r06,Folio 35 Recto,"Leaf 35r, bottom of the page",Vertical,"Peinture Antique , fond rouge, [ink] Du musée de Portici",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,,,Portici museum,,Sea-horse,,,,,2015-05-14T18:47:00Z
Wall painting - Sea horse,http://digitalmontagny.inha.fr/en/record/montagny60r01,Folio 60 Recto,"Leaf 60r, center of the page","Horizontal, turn book clockwise","Peinture antique trouvée à Pompeïa, [dolphin] vert tirant sur le bleu, [sea horse] Bleu, [;] fond noir, [dolphin] vert, musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. n° 8884,fresco,mural painting (visual works),,,,,Portici museum,,Sea-horse,,,,,2015-05-16T15:55:00Z
Wall painting - Sea Horse,http://digitalmontagny.inha.fr/en/record/montagny57v01,Folio 57 Verso,"Leaf 57v, top of the page",Vertical,"Les clairs d'un Blanc vert clair, la queue d'une couleur violette laqueuse, clair, [ink] coloré d'après les Peintures Antiques de Portici",,Blue paper,Pencil,Naples drawings,Original work of art (made from),Sea-Horse,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",no longer extant (Helbig),,,,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,Sea-horse,,,"Helbig, 1868",,2015-09-11T17:22:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,p. 1081,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reale Accademia Ercolanese, 1757",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"II, p. 169",,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Reinach, 1970",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"p. 351, 1",,
Wall painting - Sea thiasos,http://digitalmontagny.inha.fr/en/record/montagny59r04,Folio 59 Recto,"Leaf 59r, center of the page","Horizontal, turn book clockwise","Peinture antique, fond noir, [dolphin] vert, [putto] ton de , chair, [triton] brule du Soleil, [;] vert, [sea bull] vert, [;] rouge, [;] vert, [naïade] chair , clair, [putto] ton de chair, [dolphins] vert, [ink] Musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. n° 8865,fresco,mural painting (visual works),,"Found on December the 16, 1747","Italy, Herculaneum",,,,Sea thiasos,,,"Bragantini et al., 2009",,2015-05-16T16:00:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,n. 17,,
Wall painting - Sea-griffin,http://digitalmontagny.inha.fr/en/record/montagny61r01,Folio 61 Recto,"Leaf 61r, center of the page","Horizontal, turn book clockwise","Peinture Antique trouvée à Pompeïa, fond noir, [dolphin] vert, [griffin sea] queue rouge, vert, [dolphin] la queue rouge, nageoire rouge, tête verte, [ink] du Musée de Portici",,White paper,"Pencil, chiaroscuro",,Original work of art (made from),,Location unknown,,,fresco,mural painting (visual works),,,"Italy, Pompei","40.7461572, 14.4989344",Portici museum,,Sea-griffin,,,,,2015-05-14T18:59:00Z
Wall painting - Selene and Endymion,http://digitalmontagny.inha.fr/en/record/montagny05r02,Folio 5 Recto,"Leaf 5r, center of the page",Vertical,"[ink] fù trovata questa Pittura negli scavi di Portici, Peinture antique , Les nuages verts, la draperie du jeune homme viollette clair , et la draperie de la femme verte. [ink] au Musée de Portici, Le tableau Original à de hauteur , deux Palmes et Quatre onces, Sur deux Palmes trois , onces e demie de largeur. Mesure Napolitaine",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),Selene and Endymion,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 9245 (AFP MN1138),fresco,mural painting (visual works),1st c. AD,,"Italy, Herculaneum",,Portici museum,,"Cupid, Endymion, Selene (Luna)",,,"Boriello, 1986",,2015-09-12T19:28:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Museo archeologico nazionale (Napoli), 1987",,
,,,,,,,,,,,,,,,,,,,,,,,,,,Notes:,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"Inventory number alterated, changed from 9245 to 9241",,
Wall painting - Ship,http://digitalmontagny.inha.fr/en/record/montagny28r04,Folio 28 Recto,"Leaf 28r, center of the page","Horizontal, turn book clockwise","Peinture antique trouvée , à Pompeïa, toutes ces bandes terre de Sienne, jaune clair, ocre jaune / rouge foncé / jaune clair, jaune / jaune, [ink] Desné au Musée de Portici",,White paper,"Pencil, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 8552,fresco,mural painting (visual works),,,"Italy, Pompei, Temple of Isis, Regio VIII, 7","40.7461572, 14.4989344",,,"Helmet, Legionary, Naumachia, Shield, Ship, Spear",,,"De Caro, 1992",,2015-08-03T15:18:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"1. 41, pl. V",,
Wall painting - Ship,http://digitalmontagny.inha.fr/en/record/montagny29r04,Folio 29 Recto,"Leaf 29r, center of the page","Horizontal, turn book clockwise","[ink] Desné Musée de , Portici, Peinture antique trouvée à Pompeïa, A laque claire B bleu clair , C terre de Sienne Brûlée , D jaune claire",,White paper,"Ink, chiaroscuro",Naples drawings,Original work of art (made from),,Naples. Museo Archeologico Nazionale,"40.8535985, 14.2505254",inv. 8529,fresco,mural painting (visual works),,,,,,,"Helmet, Legionary, Naumachia, Shield, Ship, Spear",,,"De Caro, 1992",,2015-08-03T15:19:00Z
,,,,,,,,,,,,,,,,,,,,,,,,,,"1. 25, pl. V",,
